,word,occurrences,percentile,pinyin,definition,back
143,味道,4268,0.9945184685444426,wèidào,flavor<br/>smell<br/>hint of,<b>wèidào</b><br/>flavor<br/>smell<br/>hint of
3767,寂寞,4244,0.9945079271377972,jìmò,lonely<br/>lonesome<br/>(of a place) quiet<br/>silent,<b>jìmò</b><br/>lonely<br/>lonesome<br/>(of a place) quiet<br/>silent
2508,猫,4229,0.994497385731152,māo,cat<br/>CL:隻|只[zhi1]<br/>(dialect) to hide oneself<br/>(coll.) modem,<b>māo</b><br/>cat<br/>CL:隻|只[zhi1]<br/>(dialect) to hide oneself<br/>(coll.) modem
780,表示,4224,0.9944868443245066,biǎoshì,to express<br/>to show<br/>to say<br/>to state<br/>to indicate<br/>to mean,<b>biǎoshì</b><br/>to express<br/>to show<br/>to say<br/>to state<br/>to indicate<br/>to mean
576,热,4223,0.9944763029178614,rè,to warm up<br/>to heat up<br/>hot (of weather)<br/>heat<br/>fervent,<b>rè</b><br/>to warm up<br/>to heat up<br/>hot (of weather)<br/>heat<br/>fervent
2177,包,4216,0.994465761511216,bāo,"to cover<br/>to wrap<br/>to hold<br/>to include<br/>to take charge of<br/>to contract (to or for)<br/>package<br/>wrapper<br/>container<br/>bag<br/>to hold or embrace<br/>bundle<br/>packet<br/>CL:個|个[ge4],隻|只[zhi1]","<b>bāo</b><br/>to cover<br/>to wrap<br/>to hold<br/>to include<br/>to take charge of<br/>to contract (to or for)<br/>package<br/>wrapper<br/>container<br/>bag<br/>to hold or embrace<br/>bundle<br/>packet<br/>CL:個|个[ge4],隻|只[zhi1]"
224,小心,4209,0.9944552201045708,xiǎoxīn,to be careful<br/>to take care,<b>xiǎoxīn</b><br/>to be careful<br/>to take care
1006,菜,4208,0.9944446786979254,cài,"dish (type of food)<br/>vegetable<br/>cuisine<br/>CL:盤|盘[pan2],道[dao4]<br/>(coll.) (one's) type","<b>cài</b><br/>dish (type of food)<br/>vegetable<br/>cuisine<br/>CL:盤|盘[pan2],道[dao4]<br/>(coll.) (one's) type"
1850,里面,4207,0.9944341372912802,lǐmiàn,inside<br/>interior,<b>lǐmiàn</b><br/>inside<br/>interior
3363,星期,4204,0.9944235958846348,xīngqī,week<br/>CL:個|个[ge4]<br/>day of the week<br/>Sunday,<b>xīngqī</b><br/>week<br/>CL:個|个[ge4]<br/>day of the week<br/>Sunday
